1,1,6,4,12,5,5,3,4,1,67,3,2,1,2,1,0,0,1,0,0,1
2,2,48,2,60,1,3,2,2,1,22,3,1,1,1,1,0,0,1,0,0,2
3,4,12,4,21,1,4,3,3,1,49,3,1,2,1,1,0,0,1,0,0,1
4,1,42,2,79,1,4,3,4,2,45,3,1,2,1,1,0,0,0,0,0,1
5,1,24,3,49,1,3,3,4,4,53,3,2,2,1,1,1,0,1,0,0,2
6,4,36,2,91,5,3,3,4,4,35,3,1,2,2,1,0,0,1,0,0,1
7,4,24,2,28,3,5,3,4,2,53,3,1,1,1,1,0,0,1,0,0,1
8,2,36,2,69,1,3,3,2,3,35,3,1,1,2,1,0,1,1,0,1,1
9,4,12,2,31,4,4,1,4,1,61,3,1,1,1,1,0,0,1,0,0,1
10,2,30,4,52,1,1,4,2,3,28,3,2,1,1,1,1,0,1,0,0,2
11,2,12,2,13,1,2,2,1,3,25,3,1,1,1,1,1,0,1,0,1,2
12,1,48,2,43,1,2,2,4,2,24,3,1,1,1,1,0,0,1,0,1,2
13,2,12,2,16,1,3,2,1,3,22,3,1,1,2,1,0,0,1,0,0,1
14,1,24,4,12,1,5,3,4,3,60,3,2,1,1,1,1,0,1,0,0,2
15,1,15,2,14,1,3,2,4,3,28,3,1,1,1,1,1,0,1,0,1,1
16,1,24,2,13,2,3,2,2,3,32,3,1,1,1,1,0,0,1,0,0,2
17,4,24,4,24,5,5,3,4,2,53,3,2,1,1,1,0,0,1,0,0,1
18,1,30,0,81,5,2,3,3,3,25,1,3,1,1,1,0,0,1,0,0,1
19,2,24,2,126,1,5,2,2,4,44,3,1,1,2,1,0,1,1,0,0,2
20,4,24,2,34,3,5,3,2,3,31,3,1,2,2,1,0,0,1,0,0,1
21,4,9,4,21,1,3,3,4,3,48,3,3,1,2,1,1,0,1,0,0,1
22,1,6,2,26,3,3,3,3,1,44,3,1,2,1,1,0,0,1,0,1,1
23,1,10,4,22,1,2,3,3,1,48,3,2,2,1,2,1,0,1,0,1,1
24,2,12,4,18,2,2,3,4,2,44,3,1,1,1,1,0,1,1,0,0,1
25,4,10,4,21,5,3,4,1,3,26,3,2,1,1,2,0,0,1,0,0,1
